DATE,Actual
2005-02-01,0.023
2005-03-01,0.0257
2005-04-01,0.0457
2005-05-01,0.0228
2005-06-01,0.0281
2005-07-01,0.0368
2005-08-01,0.0484
2005-09-01,0.0365
2005-10-01,0.0323
2005-11-01,0.0377
2005-12-01,0.0383
2006-01-01,0.0348
2006-02-01,0.0348
2006-03-01,0.0286
2006-04-01,0.0168
2006-05-01,0.0504999999999999
2006-06-01,0.0313
2006-07-01,0.0312
2006-08-01,0.0272
2006-09-01,0.0341
2006-10-01,0.038
2006-11-01,0.0335
2006-12-01,0.0299
2007-01-01,0.0283
2007-02-01,0.0279999999999999
2007-03-01,0.0287
2007-04-01,0.0399
2007-05-01,0.0121999999999999
2007-06-01,0.0187
2007-07-01,0.0158999999999999
2007-08-01,0.0237999999999999
2007-09-01,0.0246
2007-10-01,0.0204999999999999
2007-11-01,0.0207
2007-12-01,0.0233
2008-01-01,0.0139999999999999
2008-02-01,0.0064
2008-03-01,0.0046
2008-04-01,0.0111
2008-05-01,0.0147
2008-06-01,0.0179
2008-07-01,0.0254
2008-08-01,0.0289999999999999
2008-09-01,0.0183
2008-10-01,0.013
2008-11-01,0.006
2008-12-01,-0.0093
2009-01-01,-0.0095
2009-02-01,-0.0220999999999999
2009-03-01,-0.0163
2009-04-01,-0.0096
2009-05-01,0.005
2009-06-01,-0.0008
2009-07-01,-0.044
2009-08-01,-0.0542
2009-09-01,-0.0421
2009-10-01,-0.0222
2009-11-01,0.0044
2009-12-01,0.0250999999999999
2010-01-01,0.0187999999999999
2010-02-01,0.0105
2010-03-01,0.018
2010-04-01,0.0381
2010-05-01,0.027
2010-06-01,0.0271
2010-07-01,0.0295
2010-08-01,0.0289999999999999
2010-09-01,0.0283999999999999
2010-10-01,0.0263
2010-11-01,0.0263
2010-12-01,0.0323
2011-01-01,0.0363
2011-02-01,0.0237
2011-03-01,0.0262
2011-04-01,0.0196
2011-05-01,0.0493
2011-06-01,0.0395
2011-07-01,0.0377
2011-08-01,0.0434
2011-09-01,0.0429
2011-10-01,0.0429
2011-11-01,0.046
2011-12-01,0.0382
2012-01-01,0.0381
2012-02-01,0.0264
2012-03-01,0.0293
2012-04-01,0.0375
2012-05-01,0.0315
2012-06-01,0.0308
2012-07-01,0.0204999999999999
2012-08-01,0.0161
2012-09-01,0.0193
2012-10-01,0.0235
2012-11-01,0.0147
2012-12-01,0.0235
2013-01-01,0.0258
2013-02-01,0.0178
2013-03-01,0.0257
2013-04-01,0.0289
2013-05-29,0.027
2013-06-04,0.0289999999999999
2013-06-11,0.0279999999999999
2013-06-18,0.0289999999999999
2013-06-25,0.0279999999999999
2013-07-02,0.0289999999999999
2013-07-09,0.036
2013-07-16,0.03
2013-07-23,0.033
2013-07-30,0.0289999999999999
2013-08-06,0.037
2013-08-13,0.037
2013-08-20,0.034
2013-08-27,0.038
2013-09-04,0.047
2013-09-10,0.046
2013-09-17,0.034
2013-09-24,0.036
2013-10-01,0.038
2013-10-08,0.033
2013-10-15,0.032
2013-10-22,0.0289999999999999
2013-10-29,0.036
2013-11-05,0.038
2013-11-12,0.033
2013-11-19,0.035
2013-11-26,0.038
2013-12-03,0.049
2013-12-10,0.026
2013-12-17,0.0289999999999999
2013-12-24,0.039
2013-12-31,0.045
2014-01-07,0.0409999999999999
2014-01-14,0.0289999999999999
2014-01-22,0.031
2014-01-28,0.032
2014-02-04,0.027
2014-02-11,0.0279999999999999
2014-02-19,0.032
2014-02-25,0.0289999999999999
2014-03-04,0.027
2014-03-11,0.025
2014-03-18,0.0279999999999999
2014-03-25,0.031
2014-04-01,0.023
2014-04-08,0.0289999999999999
2014-04-15,0.026
2014-04-22,0.037
2014-04-29,0.038
2014-05-06,0.044
2014-05-13,0.042
2014-05-20,0.039
2014-05-28,0.032
2014-06-03,0.035
2014-06-10,0.033
2014-06-17,0.035
2014-06-24,0.033
2014-07-01,0.031
2014-07-08,0.06
2014-07-15,0.0409999999999999
2014-07-22,0.037
2014-07-29,0.03
2014-08-05,0.046
2014-08-12,0.048
2014-08-19,0.037
2014-08-26,0.04
2014-09-03,0.049
2014-09-09,0.049
2014-09-16,0.036
2014-09-23,0.037
2014-09-30,0.043
2014-10-07,0.054
2014-10-15,0.038
2014-10-21,0.0409999999999999
2014-10-28,0.044
2014-11-04,0.039
2014-11-11,0.038
2014-11-18,0.039
2014-11-25,0.042
2014-12-02,0.048
2014-12-09,0.039
2014-12-16,0.0409999999999999
2014-12-23,0.053
2014-12-30,0.054
2015-01-06,0.043
2015-01-13,0.038
2015-01-21,0.03
2015-01-27,0.032
2015-02-03,0.038
2015-02-10,0.021
2015-02-18,0.032
2015-02-24,0.0279999999999999
2015-03-03,0.026
2015-03-10,0.026
2015-03-17,0.027
2015-03-24,0.0279999999999999
2015-03-31,0.03
2015-04-07,0.034
2015-04-14,0.011
2015-04-21,0.008
2015-04-28,0.0139999999999999
2015-05-05,0.016
2015-05-12,0.021
2015-05-19,0.018
2015-05-27,0.016
2015-06-02,0.017
2015-06-09,0.012
2015-06-16,0.011
2015-06-23,0.016
2015-06-30,0.017
2015-07-07,0.02
2015-07-14,0.0139999999999999
2015-07-21,0.012
2015-07-28,0.01
2015-08-04,0.017
2015-08-11,0.019
2015-08-18,0.016
2015-08-25,0.017
2015-09-01,0.013
2015-09-09,0.013
2015-09-15,0.017
2015-09-22,0.009
2015-09-29,0.009
2015-10-06,0.007
2015-10-13,0.011
2015-10-20,0.013
2015-10-27,0.015
2015-11-03,0.019
2015-11-10,0.011
2015-11-17,0.012
2015-11-24,0.015
2015-12-01,0.039
2015-12-08,0.019
2015-12-15,0.015
2015-12-22,0.021
2015-12-29,0.025
2016-01-05,0.0289999999999999
2016-01-12,0.017
